11,"{http://95.85.127.250:3002/11/PS6kfvHYyyaejMpXpSry.jpg, http://95.85.127.250:3002/11/sHxcpuyjLa7KLICukgvh.jpg, http://95.85.127.250:3002/11/Ih4OaWfEwtExUwOWaBBb.jpg, http://95.85.127.250:3002/11/RBPaD2LaksG1zFnOiD97.jpg, http://95.85.127.250:3002/11/aeqBtpzkqki9MUzGeBNC.jpg, http://95.85.127.250:3002/11/ciCl7tCaLGU6nipEdAyC.jpg, http://95.85.127.250:3002/11/nHrVy2jELcwbJU8uhe5S.jpg}",Корпус для компьютера ANTEC NX210,ANTEC,http://95.85.127.250:3002/11/T9nKhA2lSS.png,190827GHU4,Корпус для компьютера ANTEC NX210 (Игровой с окном / Типоразмер: Middle Tower / Черный цвет) (190827GHU4),1320.0,2,1
12,"{http://95.85.127.250:3002/12/L7Rx0ZtVAMTOTGtjyIIs.jpg, http://95.85.127.250:3002/12/BNq3uZviEEb45QiMgSXq.jpg, http://95.85.127.250:3002/12/V9Vb6TZf1MskZ9YytldT.jpg, http://95.85.127.250:3002/12/zpbeNBOeRpVquCt1FoU5.jpg, http://95.85.127.250:3002/12/zUO0ECJZDcazD3EMkGWS.jpg, http://95.85.127.250:3002/12/rsVkB1OWJgPoyIozdf6R.jpg}",Корпус для компьютера ANTEC NX220,ANTEC,http://95.85.127.250:3002/12/T9nKhA2lSS.png,190919GHC1,Корпус для компьютера ANTEC NX220 (Игровой / Типоразмер: Middle Tower / Поддержка ARGB / Черный цвет) (190919GHC1),1240.0,2,1
13,"{http://95.85.127.250:3002/13/nJyShQoKcuZmeY9SCizz.jpg, http://95.85.127.250:3002/13/iRpmt7Robrb3cunT0EvJ.jpg, http://95.85.127.250:3002/13/jVfu6hoGjpDYK640Fw24.jpg, http://95.85.127.250:3002/13/DA3xJVMjAM2FPjMEI2yr.jpg, http://95.85.127.250:3002/13/DeYE7yECAZSCazx3tEGI.jpg, http://95.85.127.250:3002/13/fLrboygK1hVtRJ9intIW.jpg}",Корпус для компьютера ASUS ROG STRIX HELIOS GX601,ROG,http://95.85.127.250:3002/13/o14JVhhi67.png,90DC0020-B39000,Корпус для компьютера ASUS ROG STRIX HELIOS GX601 (Игровой с окном / Типоразмер: Middle Tower / Черный цвет) (90DC0020-B39000),6500.0,2,1
14,"{http://95.85.127.250:3002/14/Uuhan1bMdazsOIfthlQr.jpg, http://95.85.127.250:3002/14/BpJlQRMkfeKw3UT5c3Mm.jpg, http://95.85.127.250:3002/14/NcXYtuhMLdQZBElmczRq.jpg, http://95.85.127.250:3002/14/5Px8eYIPIGjacbe8xeqT.jpg, http://95.85.127.250:3002/14/QhiPUPVzyQLCmdlxoMxw.jpg, http://95.85.127.250:3002/14/oA9rkSxIBu59bDsQnX7u.jpg}",Корпус для компьютера ASUS ROG Z11 GAMING,ROG,http://95.85.127.250:3002/14/o14JVhhi67.png,90DC00B0-B39000,Корпус для компьютера ASUS ROG Z11 GAMING (Игровой с окном / Типоразмер: Mini Tower / Для материнских плат Mini-ITX / Материал корпуса: Алюминий / Закаленное стекло / AURA SYNC / Черный цвет) (90DC00B0-B39000),5300.0,2,1
15,"{http://95.85.127.250:3002/15/RQGad870Wgn5Mor7zigi.jpg, http://95.85.127.250:3002/15/E4zvNgmGelIVN9DMOcTy.jpg, http://95.85.127.250:3002/15/61NTQhf73U1qRyJuaarK.jpg, http://95.85.127.250:3002/15/N8g2QZf9CKG0SEePVoau.jpg, http://95.85.127.250:3002/15/hlcscKocam0qGxbMbiUw.jpg, http://95.85.127.250:3002/15/fXTaJLodXYMemloVtD7b.jpg}",Корпус для компьютера DEEPCOOL MACUBE 550 GAMER STORM,DEEPCOOL,http://95.85.127.250:3002/15/SoKk5z0VYf.png,MACUBE 550,Корпус для компьютера DEEPCOOL MACUBE 550 GAMER STORM (Игровой с окном / Tenpered Glass / Белый цвет),3600.0,2,1
16,"{http://95.85.127.250:3002/16/BbfwQs9ARWUpo68f8zFY.jpg, http://95.85.127.250:3002/16/LDPiXQjkgnBeMI7L3naA.jpg, http://95.85.127.250:3002/16/1ajfRmG1M9sD4zoRa9hX.jpg, http://95.85.127.250:3002/16/vTrS5ekvy2v3vN7y2Xaz.jpg, http://95.85.127.250:3002/16/dJvfzcmH9vTbOLl0OmyA.jpg}",Корпус для компьютера DEEPCOOL TESSERACT (С окном),DEEPCOOL,http://95.85.127.250:3002/16/SoKk5z0VYf.png,DP-CCATX-TSRBKBL,Корпус для компьютера DEEPCOOL TESSERACT (Игровой с окном / Черный и синий цвет) (DP-CCATX-TSRBKBL),1400.0,2,1
17,"{http://95.85.127.250:3002/17/hhwcMhHrk4vjhgTI8GzJ.jpg, http://95.85.127.250:3002/17/J315SDhNqgkLHNm0nvFS.jpg, http://95.85.127.250:3002/17/Ss6BtahyJcLoFR1G7wim.jpg, http://95.85.127.250:3002/17/7BJspobgoLYgjaSDduAM.jpg, http://95.85.127.250:3002/17/GFUz5QzCTDg3koLY52tP.jpg, http://95.85.127.250:3002/17/KznXNdYnm7ac6jwBS6N8.jpg}",Корпус для компьютера FRACTAL R2 DESIGN DEFINE,FRACTAL,http://95.85.127.250:3002/17/wLW0lACAIP.png,XL R2,Корпус для компьютера FRACTAL R2 DESIGN DEFINE (Чёрный),3200.0,2,1
18,"{http://95.85.127.250:3002/18/FwiZW11JvS8HA5C4bRSX.jpg, http://95.85.127.250:3002/18/PWyyDydUmuecLXYn94c8.jpg, http://95.85.127.250:3002/18/7u8mXgCDQRTDaHDkAKho.jpg, http://95.85.127.250:3002/18/uleJSlWczqAEfjzyj36S.jpg, http://95.85.127.250:3002/18/YPV2eAGRgB1Domjpc3tB.jpg}",Корпус для компьютера FSP CMT211,FSP,http://95.85.127.250:3002/18/56eYSCCdO5.png,POC0000115,Корпус для компьютера FSP CMT211 (Игровой с окном / Типоразмер: Middle Tower / Закаленное стекло на боковой панели / Подсветка ARGB / Черный цвет) (POC0000115),1000.0,2,1
19,"{http://95.85.127.250:3002/19/3I2XGeV0zt1xaSr7LIJ1.jpg, http://95.85.127.250:3002/19/IMSK8qpZwqUAKVPpg208.jpg, http://95.85.127.250:3002/19/HngNOxYFiDR1xNHZIiKk.jpg, http://95.85.127.250:3002/19/OHOCSR1fB0bqrWkF5KH6.jpg, http://95.85.127.250:3002/19/u4AU21LAOokvDl6Jtm6r.jpg}",Корпус для компьютера FSP CMT211A,FSP,http://95.85.127.250:3002/19/56eYSCCdO5.png,POC0000116,Корпус для компьютера FSP CMT211A (Игровой с окном / Типоразмер: Middle Tower / Закаленное стекло на боковой панели / Подсветка ARGB / Черный цвет) (POC0000116),1100.0,2,1
20,"{http://95.85.127.250:3002/20/gKdHSQyz6E7zegzg5qEw.jpg, http://95.85.127.250:3002/20/DUPQDSOpjikPdJylU0Y4.jpg, http://95.85.127.250:3002/20/fwAN9TplLuu3zOmjeRY6.jpg, http://95.85.127.250:3002/20/HVO8JEkKs8RyryhsRZkP.jpg, http://95.85.127.250:3002/20/urAv0VMx8zbc5pX2zYvQ.jpg}",Корпус для компьютера FSP CMT212A,FSP,http://95.85.127.250:3002/20/56eYSCCdO5.png,POC0000131,Корпус для компьютера FSP CMT212A (Игровой с окном / Типоразмер: Middle Tower / Закаленное стекло на боковой панели / Подсветка ARGB / Черный цвет) (POC0000131),1200.0,2,1
